value: words, consumer: id-0, partition: 2, offset: 0
value: All Streams, consumer: id-0, partition: 2, offset: 1
value: a 10 ounce, consumer: id-0, partition: 2, offset: 2
value: value, consumer: id-0, partition: 0, offset: 0
value: Kafka, consumer: id-0, partition: 0, offset: 1
value: Kafka Summit, consumer: id-0, partition: 0, offset: 2
value: How can, consumer: id-0, partition: 0, offset: 3
value: 5lb coconut, consumer: id-0, partition: 0, offset: 4
value: Lead to, consumer: id-0, partition: 1, offset: 0
value: Go to, consumer: id-0, partition: 1, offset: 1
value: bird carry a, consumer: id-0, partition: 1, offset: 2
value: words, consumer: id-0, partition: 2, offset: 3
value: All Streams, consumer: id-0, partition: 2, offset: 4
value: a 10 ounce, consumer: id-0, partition: 2, offset: 5
value: value, consumer: id-0, partition: 0, offset: 5
value: Kafka, consumer: id-0, partition: 0, offset: 6
value: Kafka Summit, consumer: id-0, partition: 0, offset: 7
value: How can, consumer: id-0, partition: 0, offset: 8
value: 5lb coconut, consumer: id-0, partition: 0, offset: 9
value: Lead to, consumer: id-0, partition: 1, offset: 3
value: Go to, consumer: id-0, partition: 1, offset: 4
value: bird carry a, consumer: id-0, partition: 1, offset: 5
value: words, consumer: id-0, partition: 2, offset: 6
value: All Streams, consumer: id-0, partition: 2, offset: 7
value: a 10 ounce, consumer: id-0, partition: 2, offset: 8
value: value, consumer: id-0, partition: 0, offset: 10
value: Kafka, consumer: id-0, partition: 0, offset: 11
value: Kafka Summit, consumer: id-0, partition: 0, offset: 12
value: How can, consumer: id-0, partition: 0, offset: 13
value: 5lb coconut, consumer: id-0, partition: 0, offset: 14
value: Lead to, consumer: id-0, partition: 1, offset: 6
value: Go to, consumer: id-0, partition: 1, offset: 7
value: bird carry a, consumer: id-0, partition: 1, offset: 8
